trial_id,block_id,recording_id,electrode,word,session_token,trial_file,start_sample,end_sample,length_samples
trial_000001,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000001.npy,19600,22640,3040
trial_000002,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000002.npy,25600,28360,2760
trial_000003,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000003.npy,31880,34600,2720
trial_000004,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000004.npy,37720,39080,1360
trial_000005,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000005.npy,43560,45160,1600
trial_000006,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000006.npy,49800,51760,1960
trial_000007,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000007.npy,55920,58800,2880
trial_000008,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000008.npy,62000,64600,2600
trial_000009,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000009.npy,67880,70680,2800
trial_000010,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000010.npy,74040,76800,2760
trial_000011,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000011.npy,79880,82360,2480
trial_000012,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000012.npy,85600,88320,2720
trial_000013,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000013.npy,91720,94240,2520
trial_000014,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000014.npy,97960,100320,2360
trial_000015,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000015.npy,104040,106520,2480
trial_000016,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000016.npy,110120,112680,2560
trial_000017,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000017.npy,115760,118760,3000
trial_000018,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000018.npy,121640,124440,2800
trial_000019,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000019.npy,127680,130640,2960
trial_000020,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000020.npy,133960,136760,2800
trial_000021,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000021.npy,140360,143120,2760
trial_000022,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000022.npy,146160,149040,2880
trial_000023,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000023.npy,151840,155720,3880
trial_000024,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000024.npy,158000,160600,2600
trial_000025,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000025.npy,164160,166240,2080
trial_000026,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000026.npy,170240,172760,2520
trial_000027,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000027.npy,175640,178840,3200
trial_000028,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000028.npy,182160,184680,2520
trial_000029,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000029.npy,188160,191200,3040
trial_000030,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000030.npy,193640,197000,3360
trial_000031,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000031.npy,199880,202400,2520
trial_000032,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000032.npy,206120,220840,14720
trial_000033,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000033.npy,224160,226720,2560
trial_000034,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000034.npy,229040,232800,3760
trial_000035,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000035.npy,236800,239160,2360
trial_000036,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000036.npy,241960,244520,2560
trial_000037,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000037.npy,247960,250640,2680
trial_000038,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000038.npy,254240,255800,1560
trial_000039,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/matched/trials/trial_000039.npy,260400,262560,2160
