recording_id,electrode,word,session_token,label_token,channel_count,available_channels,valid_channels,sample_count_min,sample_count_max,has_length_mismatch,suspicious_channel_count,load_error_count,qc_status,is_usable
agagcl:bye:s1,agagcl,bye,s1,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",379000,379000,False,0,0,ok,True
agagcl:bye:s10,agagcl,bye,s10,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",383400,383400,False,0,0,ok,True
agagcl:bye:s2,agagcl,bye,s2,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",377200,377200,False,0,0,ok,True
agagcl:bye:s3,agagcl,bye,s3,,8,"1,2,3,4,5,6,7,8","1,2,4,5,6,7,8",375400,375400,False,0,1,channel_qc_failures,False
agagcl:bye:s4,agagcl,bye,s4,,8,"1,2,3,4,5,6,7,8","2,5,6,7,8",383800,383800,False,0,3,channel_qc_failures,False
agagcl:bye:s5,agagcl,bye,s5,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",376000,376000,False,0,0,ok,True
agagcl:bye:s6,agagcl,bye,s6,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",387000,387000,False,0,0,ok,True
agagcl:bye:s7,agagcl,bye,s7,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",372000,372000,False,0,0,ok,True
agagcl:bye:s8,agagcl,bye,s8,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",383600,383600,False,0,0,ok,True
agagcl:bye:s9,agagcl,bye,s9,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",399600,399600,False,0,0,ok,True
agagcl:help:s1,agagcl,help,s1,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",375800,375800,False,0,0,ok,True
agagcl:help:s10,agagcl,help,s10,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",383800,383800,False,0,0,ok,True
agagcl:help:s2,agagcl,help,s2,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",390200,390200,False,0,0,ok,True
agagcl:help:s3,agagcl,help,s3,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",378200,378200,False,0,0,ok,True
agagcl:help:s4,agagcl,help,s4,,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",389200,389200,False,0,0,ok,True
