trial_id,block_id,recording_id,electrode,word,session_token,trial_file,start_sample,end_sample,length_samples
trial_000001,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000001.npy,17960,22640,4680
trial_000002,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000002.npy,25640,27160,1520
trial_000003,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000003.npy,31760,33800,2040
trial_000004,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000004.npy,37760,38880,1120
trial_000005,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000005.npy,43640,45000,1360
trial_000006,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000006.npy,49600,51760,2160
trial_000007,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000007.npy,55920,58760,2840
trial_000008,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000008.npy,61920,63280,1360
trial_000009,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000009.npy,67880,69480,1600
trial_000010,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000010.npy,74040,75840,1800
trial_000011,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000011.npy,79600,81200,1600
trial_000012,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000012.npy,84880,87360,2480
trial_000013,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000013.npy,91760,93360,1600
trial_000014,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000014.npy,97920,100160,2240
trial_000015,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000015.npy,104080,105520,1440
trial_000016,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000016.npy,109680,111760,2080
trial_000017,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000017.npy,115920,123840,7920
trial_000018,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000018.npy,127160,130520,3360
trial_000019,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000019.npy,133960,135640,1680
trial_000020,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000020.npy,140360,142400,2040
trial_000021,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000021.npy,146160,148040,1880
trial_000022,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000022.npy,151880,155720,3840
trial_000023,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000023.npy,158040,160520,2480
trial_000024,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000024.npy,164160,168160,4000
trial_000025,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000025.npy,170240,171720,1480
trial_000026,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000026.npy,176240,177680,1440
trial_000027,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000027.npy,182160,183640,1480
trial_000028,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000028.npy,188160,189600,1440
trial_000029,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000029.npy,191960,196240,4280
trial_000030,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000030.npy,199880,201440,1560
trial_000031,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000031.npy,206120,215400,9280
trial_000032,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000032.npy,218400,219640,1240
trial_000033,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000033.npy,224160,226720,2560
trial_000034,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000034.npy,229040,233200,4160
trial_000035,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000035.npy,236600,239240,2640
trial_000036,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000036.npy,241960,243760,1800
trial_000037,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000037.npy,247960,249720,1760
trial_000038,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000038.npy,254240,255680,1440
trial_000039,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000039.npy,260400,262240,1840
trial_000040,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000040.npy,265920,269560,3640
trial_000041,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000041.npy,272320,274080,1760
trial_000042,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000042.npy,278160,280880,2720
trial_000043,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000043.npy,284480,287160,2680
trial_000044,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000044.npy,290400,291960,1560
trial_000045,block_000001,agagcl:bye:s1,agagcl,bye,s1,processed/agagcl/operational/trials/trial_000045.npy,296320,299160,2840
trial_000046,block_000002,agagcl:bye:s10,agagcl,bye,s10,processed/agagcl/operational/trials/trial_000046.npy,18240,19840,1600
trial_000047,block_000002,agagcl:bye:s10,agagcl,bye,s10,processed/agagcl/operational/trials/trial_000047.npy,24720,27120,2400
trial_000048,block_000002,agagcl:bye:s10,agagcl,bye,s10,processed/agagcl/operational/trials/trial_000048.npy,29600,33000,3400
trial_000049,block_000002,agagcl:bye:s10,agagcl,bye,s10,processed/agagcl/operational/trials/trial_000049.npy,35920,37680,1760
trial_000050,block_000002,agagcl:bye:s10,agagcl,bye,s10,processed/agagcl/operational/trials/trial_000050.npy,43040,45200,2160
