trial_id,block_id,word,session_token,trial_file,start_sample,end_sample,length_samples
trial_000001,block_000001,bye,s1,processed/trials/trial_000001.npy,17960,22640,4680
trial_000002,block_000001,bye,s1,processed/trials/trial_000002.npy,25600,28360,2760
trial_000003,block_000001,bye,s1,processed/trials/trial_000003.npy,31760,34600,2840
trial_000004,block_000001,bye,s1,processed/trials/trial_000004.npy,37720,39080,1360
trial_000005,block_000001,bye,s1,processed/trials/trial_000005.npy,43560,45160,1600
trial_000006,block_000001,bye,s1,processed/trials/trial_000006.npy,49600,51760,2160
trial_000007,block_000001,bye,s1,processed/trials/trial_000007.npy,55920,58800,2880
trial_000008,block_000001,bye,s1,processed/trials/trial_000008.npy,61920,64600,2680
trial_000009,block_000001,bye,s1,processed/trials/trial_000009.npy,67880,70680,2800
trial_000010,block_000001,bye,s1,processed/trials/trial_000010.npy,74040,76800,2760
trial_000011,block_000001,bye,s1,processed/trials/trial_000011.npy,79600,82360,2760
trial_000012,block_000001,bye,s1,processed/trials/trial_000012.npy,84880,88320,3440
trial_000013,block_000001,bye,s1,processed/trials/trial_000013.npy,91720,94240,2520
trial_000014,block_000001,bye,s1,processed/trials/trial_000014.npy,97920,100320,2400
trial_000015,block_000001,bye,s1,processed/trials/trial_000015.npy,104040,106520,2480
trial_000016,block_000001,bye,s1,processed/trials/trial_000016.npy,109680,112680,3000
trial_000017,block_000001,bye,s1,processed/trials/trial_000017.npy,115760,124440,8680
trial_000018,block_000001,bye,s1,processed/trials/trial_000018.npy,127160,130640,3480
trial_000019,block_000001,bye,s1,processed/trials/trial_000019.npy,133960,136760,2800
trial_000020,block_000001,bye,s1,processed/trials/trial_000020.npy,140360,143120,2760
trial_000021,block_000001,bye,s1,processed/trials/trial_000021.npy,146160,149040,2880
trial_000022,block_000001,bye,s1,processed/trials/trial_000022.npy,151840,155720,3880
trial_000023,block_000001,bye,s1,processed/trials/trial_000023.npy,158000,160600,2600
trial_000024,block_000001,bye,s1,processed/trials/trial_000024.npy,164160,168160,4000
